step,t,u,v,speed
1,0.001,-1.32149e-10,0,1.32149e-10
2,0.002,-2.38385e-06,2.33184e-11,2.38385e-06
3,0.003,-6.50966e-05,2.82636e-08,6.50966e-05
4,0.004,-0.000426522,5.65491e-07,0.000426522
5,0.005,-0.00146977,3.58576e-06,0.00146977
6,0.006,-0.00350963,1.27651e-05,0.00350966
7,0.007,-0.00662974,3.19475e-05,0.00662981
8,0.008,-0.0106719,6.31453e-05,0.0106721
9,0.009,-0.0153252,0.000105621,0.0153255
10,0.01,-0.020231,0.000156328,0.0202316
11,0.011,-0.0250579,0.000211056,0.0250588
12,0.012,-0.0295385,0.000265553,0.0295397
13,0.013,-0.033481,0.000316257,0.0334825
14,0.014,-0.0367662,0.000360603,0.0367679
15,0.015,-0.0393388,0.000397038,0.0393408
16,0.016,-0.0411978,0.00042489,0.0412
17,0.017,-0.0423862,0.000444196,0.0423886
18,0.018,-0.042982,0.000455535,0.0429844
19,0.019,-0.0430901,0.000459902,0.0430926
20,0.02,-0.0428353,0.000458597,0.0428378
21,0.021,-0.0423543,0.000453142,0.0423567
22,0.022,-0.0417872,0.000445191,0.0417896
23,0.023,-0.0412688,0.000436437,0.0412711
24,0.024,-0.040919,0.000428507,0.0409213
25,0.025,-0.0408347,0.000422856,0.0408369
26,0.026,-0.041084,0.000420672,0.0410861
27,0.027,-0.0417025,0.000422801,0.0417046
28,0.028,-0.0426937,0.0004297,0.0426959
29,0.029,-0.0440312,0.000441435,0.0440334
30,0.03,-0.0456637,0.000457708,0.0456659
31,0.031,-0.0475215,0.00047791,0.0475239
32,0.032,-0.0495239,0.000501205,0.0495265
33,0.033,-0.0515858,0.000526613,0.0515885
34,0.034,-0.053625,0.000553106,0.0536279
35,0.035,-0.0555676,0.000579684,0.0555706
36,0.036,-0.0573528,0.000605459,0.057356
37,0.037,-0.0589362,0.000629702,0.0589396
38,0.038,-0.0602912,0.00065189,0.0602947
39,0.039,-0.0614098,0.00067172,0.0614135
40,0.04,-0.0623012,0.000689114,0.062305
41,0.041,-0.0629897,0.000704197,0.0629937
42,0.042,-0.063512,0.000717271,0.063516
43,0.043,-0.0639127,0.000728772,0.0639168
44,0.044,-0.064241,0.000739224,0.0642452
45,0.045,-0.0645463,0.000749187,0.0645506
46,0.046,-0.0648748,0.000759216,0.0648792
47,0.047,-0.0652663,0.000769814,0.0652708
48,0.048,-0.0657517,0.000781401,0.0657563
49,0.049,-0.0663519,0.000794294,0.0663566
50,0.05,-0.0670769,0.000808689,0.0670817
51,0.051,-0.067926,0.000824664,0.067931
52,0.052,-0.0688893,0.000842183,0.0688945
53,0.053,-0.0699487,0.00086111,0.069954
54,0.054,-0.0710803,0.000881236,0.0710858
55,0.055,-0.0722568,0.000902293,0.0722624
56,0.056,-0.0734493,0.000923991,0.0734552
57,0.057,-0.0746304,0.000946033,0.0746364
58,0.058,-0.0757753,0.000968144,0.0757815
59,0.059,-0.0768638,0.000990084,0.0768701
60,0.06,-0.0778813,0.00101167,0.0778879
61,0.061,-0.0788195,0.00103276,0.0788263
62,0.062,-0.0796762,0.00105331,0.0796832
63,0.063,-0.0804552,0.0010733,0.0804623
64,0.064,-0.081165,0.00109278,0.0811724
65,0.065,-0.0818185,0.00111185,0.0818261
66,0.066,-0.082431,0.00113061,0.0824388
67,0.067,-0.0830193,0.00114923,0.0830273
68,0.068,-0.0836,0.00116785,0.0836081
69,0.069,-0.0841884,0.00118662,0.0841968
70,0.07,-0.0847978,0.00120565,0.0848064
71,0.071,-0.0854383,0.00122507,0.0854471
72,0.072,-0.0861165,0.00124495,0.0861255
73,0.073,-0.0868354,0.00126534,0.0868446
74,0.074,-0.0875944,0.00128624,0.0876038
75,0.075,-0.0883898,0.00130765,0.0883995
76,0.076,-0.0892153,0.00132952,0.0892252
77,0.077,-0.0900625,0.0013518,0.0900726
78,0.078,-0.0909221,0.00137441,0.0909325
79,0.079,-0.0917844,0.00139728,0.0917951
80,0.08,-0.0926401,0.00142032,0.092651
81,0.081,-0.0934809,0.00144346,0.093492
82,0.082,-0.0943001,0.00146663,0.0943115
83,0.083,-0.0950931,0.0014898,0.0951048
84,0.084,-0.0958572,0.00151292,0.0958691
85,0.085,-0.0965918,0.00153598,0.096604
86,0.086,-0.0972984,0.00155897,0.0973109
87,0.087,-0.0979801,0.00158192,0.0979929
88,0.088,-0.0986413,0.00160483,0.0986543
89,0.089,-0.0992872,0.00162775,0.0993005
90,0.09,-0.0999235,0.00165071,0.0999371
91,0.091,-0.100556,0.00167374,0.10057
92,0.092,-0.101189,0.00169689,0.101204
93,0.093,-0.101828,0.00172018,0.101843
94,0.094,-0.102476,0.00174363,0.102491
95,0.095,-0.103134,0.00176726,0.10315
96,0.096,-0.103805,0.00179109,0.10382
